,Chart 1,,,,,Additional Spectral Analyses,,,,,,,,,
,6.19.2019,6.24.2019,6.30.2019,,,6.19.2019,6.19.2019,6.19.2019,6.19.2019,6.24.2019,6.24.2019,6.24.2019,6.24.2019,6.34.2019,6.30.2019
,cannonballpigmenteddome,Polyps6.21.2019,ephyrae test 1,,,brine shrimp,cannonballtopdome,phytoplex,seppac phytoplex,phytoplex 6.21.2019,Sep-Pak filtered phytoplex 6.21.2109,Sep-Pak filtered phytoplex 6.21.2019 without H2O step,Sep-Pak filtered phytoplex 6.21.2019 5 mL H2O,Sep-Pak filtered phytoplex 6.21.2019 replicate,ephyrae test2
wavelength,abs,Abs,abs,,,abs,abs,abs,abs,Abs,Abs,Abs,Abs,Abs,abs
330,0.027,0.009,0.003,,,0.127,0.016,0.198,0.103,0.868,0.059,0.134,0.071,0.06,0.005
331,0.027,0.009,0.003,,,0.122,0.015,0.197,0.103,0.864,0.059,0.133,0.071,0.06,0.005
332,0.026,0.008,0.002,,,0.117,0.015,0.196,0.103,0.86,0.058,0.132,0.071,0.059,0.004
333,0.025,0.008,0.002,,,0.114,0.015,0.196,0.103,0.858,0.058,0.132,0.071,0.059,0.003
334,0.025,0.008,0.001,,,0.111,0.014,0.195,0.102,0.856,0.057,0.131,0.071,0.059,0.003
335,0.024,0.008,0.001,,,0.108,0.014,0.195,0.102,0.854,0.057,0.131,0.07,0.059,0.003
336,0.024,0.008,0,,,0.105,0.014,0.195,0.102,0.853,0.057,0.13,0.07,0.059,0.002
337,0.023,0.008,0,,,0.103,0.013,0.195,0.102,0.852,0.057,0.13,0.07,0.058,0.002
338,0.022,0.008,0,,,0.1,0.013,0.194,0.102,0.851,0.056,0.13,0.07,0.058,0.002
339,0.021,0.008,0,,,0.098,0.012,0.195,0.102,0.851,0.056,0.13,0.07,0.058,0.002
340,0.021,0.008,0,,,0.096,0.012,0.196,0.102,0.852,0.056,0.13,0.07,0.058,0.002
341,0.02,0.007,0,,,0.094,0.011,0.196,0.102,0.853,0.056,0.13,0.07,0.058,0.001
342,0.018,0.007,0,,,0.092,0.011,0.196,0.102,0.854,0.056,0.13,0.07,0.058,0.001
343,0.017,0.007,0,,,0.09,0.01,0.198,0.102,0.856,0.056,0.13,0.07,0.058,0.001
344,0.016,0.007,0,,,0.088,0.009,0.198,0.102,0.859,0.056,0.13,0.07,0.058,0.001
345,0.015,0.007,0,,,0.085,0.008,0.2,0.102,0.862,0.056,0.131,0.07,0.059,0.001
346,0.013,0.007,0,,,0.082,0.008,0.201,0.102,0.865,0.056,0.131,0.07,0.059,0.001
347,0.012,0.007,0,,,0.08,0.007,0.202,0.102,0.87,0.057,0.132,0.07,0.059,0.001
348,0.011,0.006,0,,,0.077,0.006,0.204,0.102,0.875,0.057,0.132,0.071,0.059,0.001
349,0.009,0.006,0,,,0.075,0.005,0.206,0.102,0.88,0.057,0.133,0.071,0.059,0.001
350,0.008,0.006,0,,,0.073,0.005,0.208,0.102,0.887,0.058,0.133,0.071,0.059,0.001
351,0.007,0.006,-0.001,,,0.071,0.004,0.211,0.102,0.893,0.058,0.134,0.072,0.06,0
352,0.006,0.006,-0.001,,,0.07,0.004,0.213,0.102,0.901,0.058,0.135,0.072,0.06,0
353,0.005,0.006,-0.001,,,0.069,0.003,0.216,0.102,0.909,0.059,0.136,0.073,0.06,0
354,0.005,0.005,-0.001,,,0.068,0.003,0.219,0.102,0.918,0.059,0.137,0.073,0.061,0
355,0.004,0.005,-0.001,,,0.066,0.003,0.222,0.102,0.928,0.06,0.138,0.074,0.061,0
356,0.004,0.006,-0.001,,,0.066,0.003,0.226,0.102,0.938,0.06,0.14,0.075,0.062,0
357,0.003,0.006,-0.001,,,0.066,0.003,0.229,0.102,0.949,0.061,0.141,0.075,0.062,0.001
358,0.003,0.005,-0.001,,,0.065,0.003,0.233,0.102,0.961,0.062,0.143,0.076,0.063,0.001
359,0.003,0.005,-0.001,,,0.064,0.004,0.237,0.102,0.974,0.062,0.145,0.077,0.064,0.001
360,0.002,0.005,-0.001,,,0.065,0.004,0.241,0.102,0.987,0.063,0.146,0.078,0.064,0.001
